epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.162,1.69429,2.7893,1.58064,0.04338,0.42732,0.18357,0.08036,1.76639,3.32524,1.64234,0.0004,0.0004,0.0004
2,294.955,1.68058,2.03244,1.57649,0.36361,0.32124,0.29493,0.12926,1.84758,2.65929,1.83881,0.000796412,0.000796412,0.000796412
3,435.368,1.68927,1.90435,1.58546,0.29353,0.2623,0.29921,0.12356,1.93135,2.47961,1.81878,0.00117649,0.00117649,0.00117649
4,582.514,1.69516,1.89892,1.57981,0.36142,0.42473,0.32423,0.12574,2.05462,2.36091,2.01462,0.00117575,0.00117575,0.00117575
5,721.555,1.68952,1.87076,1.5906,0.41068,0.37706,0.34977,0.15444,1.93005,2.15531,1.86942,0.001151,0.001151,0.001151
6,859.573,1.67619,1.79192,1.56667,0.44905,0.47057,0.38459,0.1614,1.98859,2.01284,1.84583,0.00112625,0.00112625,0.00112625
7,1004.94,1.68643,1.76909,1.56095,0.42783,0.4144,0.36188,0.15206,2.01412,2.15029,1.88099,0.0011015,0.0011015,0.0011015
8,1163.46,1.67842,1.79712,1.57673,0.50421,0.41893,0.38765,0.16827,1.93483,1.9949,1.85881,0.00107675,0.00107675,0.00107675
9,1320.06,1.62103,1.68194,1.54912,0.50945,0.48681,0.41074,0.17908,1.88072,1.90384,1.76052,0.001052,0.001052,0.001052
10,1471.43,1.5835,1.64625,1.51918,0.47904,0.49484,0.40693,0.16489,1.89257,1.90119,1.77726,0.00102725,0.00102725,0.00102725
11,1627.03,1.58341,1.60773,1.50655,0.47316,0.48637,0.40326,0.17465,1.87591,1.89608,1.77174,0.0010025,0.0010025,0.0010025
12,1778.96,1.59764,1.62027,1.52876,0.47369,0.47481,0.43193,0.19625,1.83338,1.90861,1.77682,0.00097775,0.00097775,0.00097775
13,1927.18,1.57281,1.57057,1.5054,0.49491,0.49546,0.43768,0.19263,1.85882,1.82508,1.76317,0.000953,0.000953,0.000953
